threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0884,0.01909010382370929,0.7163539683179768,-0.0228
0.1,0.1032,0.016510651107694087,0.6755422336627422,-0.464
0.2,0.1404,0.015389660944933126,0.6100736860731829,-0.5172
0.3,0.1568,0.017760980153133443,0.5205304553282017,0.2336
0.4,0.1164,0.01877588069838536,0.6372250522936673,0.0476
0.5,0.1044,0.018922479330151218,0.6497798264320207,0.0212
0.6,0.0848,0.01909035358499156,0.6971371727889851,-0.064
0.7,0.1212,0.018746270455746658,0.6426763318552495,0.0156
0.8,0.0936,0.019040194956985074,0.6775611810203229,-0.0088
0.9,0.092,0.019057638888382786,0.6996855254166491,-0.004
1,0.084,0.019128031785837243,0.695275218332085,0.036
