threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0176,0.0034539253031876647,0.9640927990891918,-0.976
0.1,0.1108,0.01783338173202155,0.6595543926021736,0.3068
0.2,0.0952,0.01694905307089455,0.6784400833281764,-0.432
0.3,0.11,0.018802027124754393,0.6504918517168903,0.0788
0.4,0.1612,0.018254694081249346,0.5229577835726831,0.0756
0.5,0.1012,0.018959957805860225,0.671054173331709,0.01
0.6,0.1156,0.018808017014028885,0.6486508614857202,-0.0068
0.7,0.09,0.019078500570013358,0.6989369568737233,-0.0052
0.8,0.0936,0.019039287381622243,0.6869794712626998,0.0128
0.9,0.1328,0.018624467348088106,0.6050022539008794,0.0048
1,0.0972,0.018993170983277123,0.6554163018210296,-0.0308
