threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.1096,0.01807114827563539,0.670374145028022,-0.272
0.1,0.1304,0.018646838230649186,0.619914861637981,0.0184
0.2,0.102,0.01846668091455527,0.6467909566474705,-0.2132
0.3,0.1308,0.017562525558700262,0.5886792809809105,-0.3132
0.4,0.1388,0.018429324458590444,0.5676298651753456,-0.11
0.5,0.1384,0.01856017241299229,0.5953116475776831,0.02
0.6,0.098,0.018965803331259135,0.6582859853452319,0.0524
0.7,0.0928,0.01904940272029546,0.7052282412816239,-0.0008
0.8,0.0988,0.018981211763214698,0.677334966980944,0.022
0.9,0.0932,0.019044602804994384,0.6826716343137128,0.0076
1,0.1076,0.018881144033135278,0.6480090506690079,0.034
