threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0188,0.003692249179023539,0.9606928287448226,-0.9732
0.1,0.0864,0.016465632572118208,0.7187190373461486,-0.4856
0.2,0.1196,0.014474144672484106,0.6595971795753871,-0.5972
0.3,0.0864,0.019108280927388522,0.7108793403976166,0.028
0.4,0.108,0.018752013651872165,0.6176984893465529,0.1136
0.5,0.0848,0.019097533243851154,0.7074611566199286,0.0584
0.6,0.0856,0.0191243108111116,0.714999528797124,0.0072
0.7,0.2212,0.017625935436169055,0.417861057573762,0.046
0.8,0.088,0.01909649433796685,0.7049050943287543,0.0176
0.9,0.1168,0.018785383254008952,0.6351913384446931,0.0312
1,0.1004,0.018969366462799963,0.7007131790100112,0.0028
