threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0176,0.003170705915092095,0.9662767639780292,-0.9784
0.1,0.106,0.018517985203579786,0.6748993462487817,-0.1916
0.2,0.0824,0.018923211566750503,0.6931976527579815,-0.1496
0.3,0.1048,0.01852928492953789,0.6557133861440895,0.192
0.4,0.0832,0.01913757184179853,0.723606278095825,0.0344
0.5,0.1236,0.018567755276284747,0.6108683246965881,-0.1204
0.6,0.0992,0.01897235715455515,0.6811776153050205,0.0304
0.7,0.0912,0.0190635148910163,0.694048499179152,0.016
0.8,0.096,0.01901157542130583,0.6801771494820057,-0.02
0.9,0.1216,0.01872,0.605316144391602,-0.048
1,0.1024,0.018946398496812,0.6743137422626303,-0.0136
