[-1, -1]	[-1, 0]	[-1, 1]	[0, -1]	[0, 0]	[0, 1]	[1, -1]	[1, 0]	[1, 1]
0.218	0.0652	0.0064	0.078	0.2528	0.0764	0.006	0.0832	0.214
0.218	0.0652	0.0064	0.078	0.2528	0.0764	0.006	0.0832	0.214
0.218	0.0652	0.0064	0.0776	0.2532	0.0764	0.0056	0.0836	0.214
0.218	0.0652	0.0064	0.0772	0.2536	0.0764	0.0056	0.084	0.2136
0.218	0.0652	0.0064	0.0772	0.2536	0.076	0.0056	0.084	0.214
0.218	0.0652	0.0064	0.0772	0.2536	0.076	0.0056	0.084	0.214
0.218	0.0652	0.0064	0.0772	0.2532	0.0764	0.0056	0.084	0.214
0.218	0.0652	0.0064	0.0772	0.2532	0.0764	0.0056	0.084	0.214
0.218	0.0652	0.0064	0.0772	0.2532	0.076	0.0056	0.084	0.2144
0.218	0.0652	0.0064	0.0772	0.2532	0.076	0.0056	0.084	0.2144
0.218	0.0652	0.0064	0.0772	0.2532	0.076	0.0056	0.084	0.2144
0.218	0.0652	0.0064	0.0776	0.2528	0.076	0.0056	0.084	0.2144
0.218	0.0652	0.0064	0.0776	0.2528	0.076	0.0056	0.084	0.2144
0.2184	0.0652	0.0064	0.0772	0.2528	0.076	0.0056	0.084	0.2144
0.2184	0.0652	0.0064	0.0772	0.2528	0.076	0.0056	0.0836	0.2148
0.2184	0.0652	0.0064	0.0772	0.2528	0.076	0.0056	0.0836	0.2148
0.2184	0.0652	0.0064	0.0768	0.2532	0.076	0.0056	0.0836	0.2148
0.218	0.0652	0.0064	0.0772	0.2532	0.076	0.0056	0.0836	0.2148
0.2184	0.0648	0.0064	0.0772	0.2532	0.076	0.0056	0.0836	0.2148
0.2184	0.0648	0.0064	0.0772	0.2532	0.076	0.0056	0.0836	0.2148
0.2184	0.0648	0.0064	0.0776	0.2528	0.076	0.0056	0.0836	0.2148
0.2184	0.0648	0.0064	0.0776	0.2528	0.076	0.0056	0.0836	0.2148
0.2184	0.0648	0.0064	0.0776	0.2528	0.076	0.0056	0.0836	0.2148
0.2188	0.0644	0.0064	0.0776	0.2528	0.076	0.0056	0.0836	0.2148
0.2188	0.0644	0.0064	0.0776	0.2528	0.076	0.0056	0.0836	0.2148
0.2188	0.0644	0.0064	0.0772	0.2532	0.076	0.0052	0.084	0.2148
0.2188	0.0644	0.0064	0.0772	0.2536	0.0756	0.0052	0.084	0.2148
0.2184	0.0648	0.0064	0.0772	0.2536	0.0756	0.0052	0.0836	0.2152
0.2184	0.0652	0.006	0.0772	0.2532	0.076	0.0052	0.0836	0.2152
0.2184	0.0652	0.006	0.0772	0.2532	0.076	0.0052	0.0836	0.2152
0.2184	0.0652	0.006	0.0772	0.2532	0.076	0.0052	0.0836	0.2152
0.2184	0.0652	0.006	0.0772	0.2532	0.076	0.0052	0.0836	0.2152
0.2184	0.0652	0.006	0.0768	0.2532	0.076	0.0052	0.084	0.2152
0.2184	0.0652	0.006	0.0768	0.2532	0.076	0.0052	0.084	0.2152
0.2184	0.0652	0.006	0.0768	0.2532	0.076	0.0052	0.084	0.2152
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.084	0.2152
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.084	0.2152
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.084	0.2152
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.084	0.2152
0.2188	0.0652	0.006	0.0764	0.2532	0.076	0.0052	0.0836	0.2156
