threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.4784,0.01444238207499026,0.37662029934794805,0.012
0.1,0.4972,0.014181026196999989,0.3828069069371553,0.0068
0.2,0.4784,0.01444429631377036,0.3786789660244339,-0.0024
0.3,0.4888,0.014297063194936226,0.3814071515652933,0.0136
0.4,0.4672,0.014597753251785018,0.3766868083355129,-0.008
0.5,0.4824,0.014388448700259524,0.37752417912714564,0.0056
0.6,0.4732,0.014515931110335294,0.37322822270699185,-0.0044
0.7,0.4924,0.014249028598469443,0.3854773146526584,0.0036
0.8,0.4704,0.014554645169154761,0.37841378577694407,0.0024
0.9,0.4756,0.014483091382712462,0.37838629692947134,0.0004
1,0.4736,0.014510606327786581,0.3763348436005321,0.0024
