threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.4688,0.014573848359304415,0.37596426662247506,-0.0144
0.1,0.4752,0.014481184481940697,0.3819070253418326,-0.0232
0.2,0.4776,0.01445395226227069,0.3746680228250458,-0.0104
0.3,0.4796,0.014427251990590586,0.380108442875849,-0.006
0.4,0.4784,0.01444365826236553,0.38630360350165927,0.0072
0.5,0.492,0.01425482374496437,0.3810262825082087,0.0
0.6,0.4804,0.014415482787614158,0.38309349434062134,-0.0092
0.7,0.4652,0.014625827019351762,0.3728741299363401,-0.0036
0.8,0.5016,0.014119408486193747,0.38802692946478295,-0.0024
0.9,0.4812,0.01440517906865444,0.3793442038564726,-0.0052
1,0.4868,0.014327414840088912,0.3828197775480744,0.0036
