mean,std,blue,neutral,red
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-3.3306690738754695e-17,0.09359852435099475,0.35,0.325,0.325
-8.862488466909735e-06,0.09359846365496287,0.35,0.325,0.325
-6.346281151053956e-05,0.09359808972776447,0.35,0.325,0.325
-0.00018822583954667405,0.09359723536630625,0.35,0.325,0.325
0.00015140478225467158,0.09359623155751935,0.325,0.325,0.35
0.00018188973272743604,0.09359602280552344,0.325,0.325,0.35
0.0001337671211013247,0.09359602280552344,0.325,0.325,0.35
0.0003064383429384754,0.09359516999447257,0.325,0.325,0.35
0.0006961863252378464,0.09359250194266647,0.325,0.325,0.35
0.0011050401722254132,0.09358970413654065,0.325,0.325,0.35
0.00164350694412434,0.09358602100243783,0.325,0.325,0.35
0.0006232604845685774,0.09358602100243783,0.325,0.325,0.35
0.0007883291669914972,0.09358602100243783,0.325,0.325,0.35
0.0009841646310612573,0.09358602100243783,0.325,0.325,0.35
0.001484281769046958,0.09358602100243783,0.325,0.325,0.35
0.002071480793604641,0.093583094957499,0.325,0.325,0.35
0.0020979222704715526,0.09358291421603059,0.325,0.325,0.35
0.0025912347097492017,0.09357954297896902,0.325,0.325,0.35
0.002681771148631018,0.09357892443184136,0.325,0.325,0.35
0.002989065333932861,0.09357682537881368,0.325,0.325,0.35
0.003096563411202741,0.0935760912267869,0.325,0.325,0.35
0.0026586992531091925,0.0935760912267869,0.325,0.325,0.35
0.003609743066483967,0.09357258750704922,0.325,0.325,0.35
0.0035052672404015496,0.09357258750704922,0.325,0.325,0.35
0.003883505299892781,0.09357071908733958,0.325,0.325,0.35
0.0035887333503401174,0.09357071908733958,0.325,0.325,0.35
0.0031868934524232504,0.09357071908733958,0.325,0.325,0.35
0.0031177931858203723,0.09357071908733958,0.325,0.325,0.35
0.00401195401223513,0.09356984259252045,0.325,0.325,0.35
0.00445059462870453,0.09356685023299001,0.325,0.325,0.35
0.005460405718482775,0.09355996605630915,0.325,0.325,0.35
0.005167354700197524,0.09355996605630915,0.325,0.325,0.35
0.0049428862125864784,0.09355996605630915,0.325,0.325,0.35
0.005383933603009439,0.09355996605630915,0.325,0.325,0.35
0.0050373398602319595,0.09355996605630915,0.325,0.325,0.35
0.0046084243332820355,0.09355996605630915,0.325,0.325,0.35
0.005608558639405814,0.0935589565997456,0.325,0.325,0.35
0.005929242068032703,0.09355677206496213,0.325,0.325,0.35
0.005145727574540282,0.09355677206496213,0.325,0.325,0.35
0.004865523906764796,0.09355677206496213,0.325,0.325,0.35
0.004692385024218454,0.09355677206496213,0.325,0.325,0.35
0.004218727093785168,0.09355677206496213,0.325,0.325,0.35
0.0033052212982157105,0.09355677206496213,0.325,0.325,0.35
0.003946417136455676,0.09355677206496213,0.325,0.325,0.35
0.004360587989214526,0.09355677206496213,0.325,0.325,0.35
0.003654202119586741,0.09355677206496213,0.325,0.325,0.35
0.004167855877239302,0.09355677206496213,0.325,0.325,0.35
0.004297850551164889,0.09355677206496213,0.325,0.325,0.35
0.004442232060972206,0.09355677206496213,0.325,0.325,0.35
0.0049719158037744736,0.09355677206496214,0.325,0.325,0.35
