media_authority,final_opinion,final_std,final_clustering,final_pol,prob_to_change
0.1,0.0432,0.019550559685083187,0.7942294482662328,-0.0352,1.1132
0,0.03,0.01961530015064771,0.8239769639191834,-0.09,1.1524
5,0.4736,0.014508136200077529,0.4025239743732969,0.0136,0.5224
1,0.076,0.019224957113086104,0.7633823350235173,-0.0016,1.1008
2,0.0788,0.01911717301276525,0.7537376494919259,-0.0868,0.9668
4,0.1732,0.018170483317732637,0.6525150539529682,0.0372,0.8664
6,0.4452,0.014891391338622462,0.39415578666333,-0.0204,0.5492
8,0.4332,0.0150568650123457,0.3830404871756089,-0.0052,0.5904
10,0.406,0.015414177370200462,0.37005312285273706,0.0028,0.5912
15,0.3932,0.015579126548044983,0.3510204826888615,0.0052,0.5916
20,0.372,0.015849088301855094,0.3531739882224466,-0.004,0.6248
