threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0452,0.008411325698128686,0.8848590979005033,0.882
0.1,0.0936,0.015823069740097843,0.7041413217725199,0.5296
0.2,0.086,0.016586797641497893,0.7036996228247347,0.4756
0.3,0.0996,0.018973495618889,0.6853358992987203,0.0204
0.4,0.1076,0.01881925652091495,0.6500744173982249,-0.0836
0.5,0.0896,0.01904520937138786,0.6840908174740659,-0.06
0.6,0.1124,0.018842489856704184,0.6248918416828584,0.0012
0.7,0.1568,0.01834484952241364,0.5388635024182681,-0.0432
0.8,0.1048,0.01890805373379291,0.6456899851051717,0.0376
0.9,0.0828,0.01914203750910545,0.698208045009093,0.034
1,0.1148,0.018808915332894666,0.626551780752923,0.0276
