threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0996,0.01897759689739457,0.6811923994163827,0.0052
0.1,0.0848,0.015154458089948319,0.7319014058977523,0.584
0.2,0.088,0.018294312121531108,0.691991139708673,0.2744
0.3,0.1764,0.01754101205746122,0.4904320962633746,0.2332
0.4,0.1256,0.018571072559225008,0.6064229388495802,0.1104
0.5,0.1216,0.018435138621664876,0.605633858017839,0.1696
0.6,0.0824,0.01915657756489922,0.724877170068653,-0.0128
0.7,0.1556,0.018339551139545374,0.543755800808792,0.0596
0.8,0.1116,0.018850952230590367,0.6471695185805324,0.002
0.9,0.0984,0.01898596702830804,0.6748879135840732,-0.0208
1,0.0804,0.019178673155356707,0.7300228604900135,0.0068
