threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0136,0.0025744094468440715,0.974866454331452,-0.9848
0.1,0.094,0.019028330877930412,0.6924760251600014,-0.0284
0.2,0.1516,0.017765799053237094,0.5518396572366299,-0.2436
0.3,0.0796,0.019162247884838564,0.7113721414060248,-0.0492
0.4,0.0948,0.019018426433330387,0.6733692189815014,-0.0308
0.5,0.1312,0.018626061741549124,0.5915133638837136,-0.0384
0.6,0.1572,0.01831446379231453,0.5438413800041809,0.0652
0.7,0.084,0.01914103612660506,0.7198935572243148,0.0072
0.8,0.114,0.018801428030870423,0.631550581637955,-0.0476
0.9,0.1264,0.018691773591609756,0.6135474539165849,-0.012
1,0.1224,0.018735624249007557,0.6192078368910174,-0.0064
