threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0472,0.011321783605068594,0.8452635290938141,-0.7952
0.1,0.0472,0.006613363440791683,0.8926384430581096,0.9184
0.2,0.1172,0.016773348383671043,0.6140136594494165,0.4236
0.3,0.0996,0.01889977777647134,0.6510421690418783,0.086
0.4,0.1236,0.0187043952054056,0.6239870056153105,0.042
0.5,0.086,0.01910618915430285,0.686128978264337,0.0372
0.6,0.1008,0.018875762236264793,0.6535748336722415,-0.092
0.7,0.1364,0.018577817309899464,0.6080153208959511,-0.0276
0.8,0.1272,0.018680471086136987,0.6253716251003576,-0.02
0.9,0.1292,0.018654193737602277,0.5988403313164908,-0.0292
1,0.1104,0.018863477516089126,0.6484790153176575,0.0048
