media_authority,initial_threshold,final_opinion,final_std,final_clustering,final_pol,prob_to_change
7.5,0.21,0.5284,0.013733395210216593,0.4180449835163722,0.0092,0.4712
7.5,0.24,0.5852,0.012880792522201421,0.4477949846100483,-0.0036,0.4316
7.5,0.27,0.6208,0.012310344268134828,0.47869299470368504,-0.0184,0.4128
10,0.03,0.0424,0.01956879148031375,0.586045449216888,0.016,1.0892
10,0.06,0.136,0.01858808908952182,0.4329195454842051,0.0144,0.9
10,0.09,0.2196,0.01766774416839909,0.3980731317922566,-0.0052,0.8152
10,0.12,0.3112,0.0165987257342243,0.3635986860162736,-0.0024,0.7112
10,0.15,0.3892,0.01562965591431878,0.36903295591394636,-0.0092,0.6404
10,0.18,0.4416,0.01494492502490394,0.38457080502596797,0.0048,0.5436
10,0.21,0.5124,0.013965669908744083,0.40543661968034655,0.0004,0.496
10,0.24,0.5492,0.013427792074648759,0.4180042355695708,-0.006,0.4348
10,0.27,0.5936,0.012747642919379252,0.44911813035255227,0.012,0.408
12.5,0.03,0.048,0.019512201720974492,0.4978886386976816,0.0136,0.9992
12.5,0.06,0.1464,0.01847784576188469,0.4244752504759787,0.0048,0.868
12.5,0.09,0.2308,0.017540150968563525,0.38021504492480585,-0.0076,0.8088
12.5,0.12,0.304,0.016685131105268546,0.3580768146965866,-0.004,0.7088
12.5,0.15,0.3788,0.015763002759626735,0.36219844054394684,-0.0044,0.6476
12.5,0.18,0.442,0.014939620343234967,0.3747168561837433,-0.0044,0.5588
12.5,0.21,0.4876,0.014316404017769267,0.38405447140148863,-0.0012,0.5224
12.5,0.24,0.5344,0.013646827616702719,0.4079754330781961,-0.0032,0.482
12.5,0.27,0.5976,0.01268529605488181,0.44871485829506574,0.0104,0.4548
15,0.03,0.046,0.019533862290903967,0.4927383029557053,0.0084,0.9872
15,0.06,0.1364,0.018583397321265023,0.4219470646158204,0.0156,0.8676
15,0.09,0.228,0.01757165717853612,0.36616701174644867,0.0096,0.7848
15,0.12,0.3,0.016732925147743893,0.36369570520492506,-0.0048,0.726
15,0.15,0.3584,0.016019979525579923,0.35201030862567523,-0.0008,0.6548
15,0.18,0.438,0.01499297115317708,0.3664691963345428,0.0052,0.5564
15,0.21,0.4884,0.014305223661306384,0.37844733706350436,0.0012,0.5488
15,0.24,0.5252,0.013781032762460147,0.4034202999693415,0.0028,0.4844
15,0.27,0.5628,0.013224024198404962,0.4235243755427985,0.0036,0.4432
17.5,0.03,0.048,0.01951172939541752,0.4862944365147661,-0.0152,0.9856
17.5,0.06,0.1452,0.01848725571846725,0.40843094080546055,0.0188,0.8676
17.5,0.09,0.2044,0.01783424301729681,0.3784301963324326,-0.0212,0.7744
17.5,0.12,0.2952,0.01678937568821426,0.3500980994308096,-0.0096,0.7488
17.5,0.15,0.3536,0.016079769152571814,0.35002500381741597,0.0016,0.6604
17.5,0.18,0.4272,0.01513663423618342,0.36072394193534335,-0.0024,0.572
17.5,0.21,0.4856,0.014344194086807387,0.3802580930100792,0.0032,0.5384
17.5,0.24,0.5124,0.013965614916644378,0.3942247486484049,0.002,0.5096
17.5,0.27,0.5588,0.013284035531418905,0.42183594946599534,0.006,0.4216
20,0.03,0.062,0.019368280873634604,0.4686847257708913,0.0132,0.9472
20,0.06,0.14,0.018546677977470793,0.41146726764146696,0.0072,0.8524
20,0.09,0.2208,0.017653997167780447,0.37009811308728435,-0.0064,0.7832
20,0.12,0.2924,0.01682363860762588,0.3523781168837899,0.0036,0.7036
20,0.15,0.362,0.015974738057320376,0.34630127819762896,-0.0044,0.6704
20,0.18,0.4096,0.015367364900984164,0.35596787805859414,-0.0032,0.6048
20,0.21,0.464,0.014642185629201672,0.37478710181965363,0.004,0.5604
20,0.24,0.5208,0.013843523250964692,0.3969983798610737,-0.0096,0.504
20,0.27,0.5448,0.013492336195040502,0.4064658876203434,0.0096,0.4484
