number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.2952,0.016790404878977757,0.3964003358728854,-0.0024,0.004
20,0.344,0.016194213287467844,0.3856279549037783,0.0192,0.012
30,0.3828,0.01571114254279427,0.3693139285435682,-0.01,0.0
40,0.4012,0.01547444654906921,0.37107973962702573,-0.0124,0.0
50,0.4276,0.015130948417068905,0.3692752849291266,0.006,0.0
60,0.4848,0.014354916091708792,0.38459904241004117,0.0064,0.0
70,0.4836,0.014371694402540016,0.38622522325866493,-0.006,0.0
80,0.4968,0.014187173925768303,0.3817864212915376,0.0032,0.0
90,0.4968,0.014184710642096301,0.3881422992948335,-0.0136,0.0
100,0.524,0.013798402226344904,0.3953358182524376,-0.0032,0.0
