threshold_parameter,final_opinion,final_std,final_clustering
0,0.4736,0.014484940593595818,0.3751995024180264,-0.0432
0.1,0.4796,0.014427482663306165,0.38012858555987983,-0.0044
0.2,0.4892,0.01429190316228038,0.38416352760383554,-0.0124
0.3,0.4736,0.014504253720891676,0.3741276215117995,-0.0216
0.4,0.476,0.014476684703342822,0.3798161010143222,-0.008
0.5,0.4764,0.014471862907034463,0.380331971308499,-0.0036
0.6,0.4676,0.0145925153417771,0.3769132082269892,-0.0068
0.7,0.4796,0.014427376199434188,0.37303897547596937,-0.0052
0.8,0.4728,0.014521628558808411,0.37954597440503823,-0.0024
0.9,0.484,0.01436640525670914,0.3785484100365898,0.004
1,0.4836,0.014372015029215632,0.3842024507181763,0.0036
