threshold_parameter,final_opinion,final_std,final_clustering
0,0.4856,0.014335758926544486,0.3798417137065996,0.0248
0.1,0.4924,0.01420059942396799,0.38435691871981353,0.0588
0.2,0.4904,0.01427208968581686,0.38637709356634875,-0.0192
0.3,0.474,0.014505169285465096,0.37305940940904286,0.0004
0.4,0.4756,0.014482720186484308,0.37770053213674226,0.0052
0.5,0.4896,0.014288447921310416,0.38648412087893197,0.0008
0.6,0.4668,0.014604054231616643,0.3767156506049502,-0.002
0.7,0.47,0.01456004175818188,0.3805437639235871,0.0036
0.8,0.4784,0.01444365826236553,0.38146458704248887,0.0072
0.9,0.4856,0.014344256550968404,0.37455827341856257,0.0024
1,0.4648,0.014631394191942202,0.3754894217510358,-0.0024
