threshold_parameter,final_opinion,final_std,final_clustering
0,0.4824,0.014370048851691495,0.3822470619972551,0.0368
0.1,0.4912,0.01426560394795818,0.38086964941994356,-0.0056
0.2,0.4964,0.014192899633267333,0.38268041600904834,0.002
0.3,0.4764,0.014471544492555038,0.37512071255909357,-0.006
0.4,0.4508,0.014821240973683682,0.36847314550298077,0.0052
0.5,0.4784,0.0144443672066311,0.3772963822286226,0.0008
0.6,0.4816,0.014399919999777777,0.38297636280247366,0.0024
0.7,0.46,0.014696799107288635,0.37407955419990163,0.0032
0.8,0.4804,0.014416548269263347,0.3797145332077556,0.0028
0.9,0.4756,0.014482985327618058,0.37981640592001237,-0.0028
1,0.4756,0.014482985327618058,0.3743560745536841,-0.0028
