number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.1156,0.018804082960889104,0.6565269575039632,0.0204,0.118
20,0.2924,0.01681761172105005,0.40260070416426,0.0228,0.036
30,0.4148,0.015299671107576135,0.36676317062968644,-0.0004,0.0
40,0.3952,0.015551670778408345,0.3635178736570126,-0.0128,0.0
50,0.4252,0.015160527695301374,0.367997428098929,-0.014,0.0
60,0.456,0.014751132295522267,0.3697212416901989,-0.0032,0.0
70,0.4884,0.014305223661306384,0.38928081348866844,0.0012,0.0
80,0.5044,0.014079661359564013,0.39389074666623086,0.0028,0.0
90,0.5084,0.014022836232374674,0.3993272709407759,-0.0004,0.0
100,0.516,0.013912696934814617,0.39656139448659233,-0.0096,0.0
