number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.1324,0.018628100923067818,0.6453581138685967,-0.0092,0.064
20,0.3388,0.016261973311993846,0.3837247352819053,-0.0084,0.006
30,0.376,0.0157984424548751,0.3646326082181353,0.0048,0.0
40,0.4056,0.015418936928335882,0.37163869059936455,-0.0064,0.0
50,0.4316,0.015078102798429251,0.3706520770263661,-0.0052,0.0
60,0.452,0.014804851096853356,0.3709714068107287,0.0064,0.0
70,0.4664,0.014609366858286503,0.37682186112913296,0.004,0.0
80,0.5116,0.013977121878269503,0.39966742247482473,0.0004,0.0
90,0.5136,0.013948146256761147,0.39700873376896045,-0.0048,0.0
100,0.518,0.013885241661562827,0.39706131375449194,-0.0004,0.0
