-1	0	1
0.3288	0.342	0.3292
0.3268	0.346	0.3272
0.3244	0.3496	0.326
0.3208	0.356	0.3232
0.3196	0.3584	0.322
0.3168	0.362	0.3212
0.316	0.364	0.32
0.314	0.3676	0.3184
0.3108	0.3704	0.3188
0.31	0.3724	0.3176
0.3104	0.372	0.3176
0.3076	0.3768	0.3156
0.3036	0.38	0.3164
0.3024	0.3824	0.3152
0.3016	0.3848	0.3136
0.3016	0.3868	0.3116
0.302	0.3864	0.3116
0.3	0.3904	0.3096
0.2996	0.39	0.3104
0.2976	0.392	0.3104
0.2968	0.3936	0.3096
0.2948	0.398	0.3072
0.2944	0.3984	0.3072
0.2932	0.4024	0.3044
0.2924	0.4044	0.3032
0.2908	0.4064	0.3028
0.2896	0.408	0.3024
0.2888	0.4088	0.3024
0.2872	0.4108	0.302
0.2844	0.4152	0.3004
0.2844	0.4168	0.2988
0.2844	0.4176	0.298
0.284	0.4176	0.2984
0.2848	0.4164	0.2988
0.284	0.4172	0.2988
0.2824	0.42	0.2976
0.2824	0.4196	0.298
0.2816	0.4208	0.2976
0.2828	0.4196	0.2976
0.2824	0.4216	0.296
0.282	0.422	0.296
0.2816	0.4216	0.2968
0.2812	0.4216	0.2972
0.282	0.4224	0.2956
0.2812	0.4228	0.296
0.2804	0.4224	0.2972
0.2808	0.4216	0.2976
0.2796	0.4232	0.2972
0.2796	0.4252	0.2952
0.2796	0.4248	0.2956
0.2796	0.4256	0.2948
0.2788	0.4264	0.2948
0.2792	0.4268	0.294
0.2772	0.4304	0.2924
0.2772	0.4304	0.2924
0.2772	0.4316	0.2912
0.2764	0.4328	0.2908
0.2756	0.4336	0.2908
0.276	0.4328	0.2912
0.2764	0.4332	0.2904
0.2764	0.434	0.2896
0.2752	0.4352	0.2896
0.2748	0.4344	0.2908
0.276	0.4316	0.2924
0.2752	0.4332	0.2916
0.276	0.432	0.292
0.2764	0.4324	0.2912
0.2768	0.43	0.2932
0.276	0.4316	0.2924
0.2748	0.4328	0.2924
0.2744	0.434	0.2916
0.274	0.434	0.292
0.2748	0.4324	0.2928
0.2748	0.4328	0.2924
0.2748	0.4332	0.292
0.2756	0.4332	0.2912
0.2756	0.4332	0.2912
0.2764	0.432	0.2916
0.2756	0.4348	0.2896
0.2744	0.4368	0.2888
0.2752	0.4368	0.288
0.2756	0.436	0.2884
0.2744	0.436	0.2896
0.2732	0.4372	0.2896
0.274	0.436	0.29
0.274	0.4356	0.2904
0.2736	0.436	0.2904
0.274	0.4352	0.2908
0.274	0.4356	0.2904
0.2732	0.4356	0.2912
0.2728	0.4352	0.292
0.2728	0.4356	0.2916
0.2728	0.4368	0.2904
0.2724	0.4372	0.2904
0.2724	0.438	0.2896
0.2732	0.4368	0.29
0.2728	0.438	0.2892
0.2736	0.4372	0.2892
0.2732	0.4372	0.2896
0.2736	0.4364	0.29
