media_authority,final_opinion,final_std,final_clustering,final_pol,prob_to_change
0.1,0.0328,0.019152274016419044,0.8000955387178165,0.224,1.0488
0,0.0368,0.017439493570628708,0.8186250692044399,0.4504,1.016
5,0.4408,0.014955901042732265,0.4069657157777139,0.0016,0.5684
1,0.0732,0.019133449662828705,0.7532500525219519,0.1076,1.0372
2,0.0752,0.019228086124209034,0.7807300454473295,-0.0224,1.0176
4,0.1676,0.018246263836742032,0.660416531833077,0.0092,0.8832
6,0.3916,0.01559719154206936,0.4165859074914326,-0.0148,0.5856
8,0.42,0.015226704962006718,0.37718941181891424,0.0192,0.6012
10,0.4124,0.015330260793606871,0.37394149948606176,0.0076,0.6236
15,0.3892,0.015630687764778616,0.3560972838267563,0.002,0.638
20,0.3812,0.015732034070647063,0.34911699057525314,-0.0076,0.5964
