media_authority,final_opinion,final_std,final_clustering,final_pol,prob_to_change
0.1,0.0332,0.019494690148858487,0.8180721719197238,-0.1292,1.116
0,0.034,0.019107395008216056,0.798885060246987,-0.2308,1.0652
5,0.2772,0.01698276773673832,0.5075337164392226,-0.042,0.6384
1,0.044,0.01954559633267811,0.8033733244361573,-0.0304,1.0868
2,0.0828,0.019153629003402985,0.7757382077201058,-0.0068,1.11
4,0.4104,0.015357008041933167,0.4146158956027665,-0.0024,0.5516
6,0.4244,0.015168597034663424,0.38936088521346546,-0.0196,0.5316
8,0.4332,0.015056609977016739,0.3763978059767196,-0.0068,0.5728
10,0.4224,0.015196631205632386,0.3683380485352237,0.016,0.5936
15,0.3872,0.015655785384323585,0.35815804764041204,-0.0064,0.6292
20,0.3644,0.015944325134667817,0.35368510809274173,0.0068,0.6584
