media_authority,final_opinion,final_std,final_clustering,final_pol,prob_to_change
0.1,0.0384,0.019582921538932846,0.8139391376040392,0.0536,1.1328
0,0.0336,0.019086162526815074,0.7961571343782895,-0.236,1.0696
5,0.4712,0.014543647960535897,0.3991689429342822,-0.0024,0.5012
1,0.0568,0.018696799298275626,0.7764379737640305,-0.2632,1.0408
2,0.076,0.019224957113086104,0.776099441665525,-0.0016,1.0464
4,0.1836,0.01805630128237785,0.6255704509795162,-0.0364,0.8068
6,0.4144,0.01529686190040297,0.3946189775944735,0.0248,0.5788
8,0.4256,0.01515782781271776,0.3776633711036174,-0.0008,0.5948
10,0.408,0.015387109410152382,0.3691031368525377,-0.0096,0.6116
15,0.3936,0.015574132399591318,0.3557149171783835,0.004,0.6292
20,0.3796,0.01575309290266518,0.34883947156830725,0.0004,0.6296
