mupdate_parameter_1,final_opinion,final_std,final_clustering,final_pol,prob_to_change
1,0.4136,0.015315351775261318,0.3663934735591256,0.0,0.0004
1.5,0.4116,0.015341278173607309,0.3640869904082645,-0.0036,0.0068
1.75,0.408,0.015388174160698858,0.3640323941791796,-0.0032,0.002
2,0.3996,0.015496995321674456,0.37231564929249045,-0.0028,0.0012
2.25,0.414,0.015310024950992079,0.36785394767664775,0.0028,0.0044
2.75,0.4088,0.01537789790576072,0.3726379798725206,0.0008,0.0
3,0.3972,0.015527789797649889,0.3653651171849403,0.0044,0.0072
3.5,0.3952,0.015552592581302965,0.3727775660852583,0.0096,0.0008
4,0.3856,0.01567653022833816,0.3706258830988746,0.004,0.0144
